Year,Month,Day,Province,Fire_ID,Latitude,Longitude,Start_Date,Detect_Date,Cause,Size,Fire_Region,Fire_Zone,EcoZone,EcoRegion,EcoDistrict
1960,7,30,BC,4040157,53.5,-124.4,7/30/60,0/0/00,LTG,367.00,PrG,INT,14,202,974
1960,8,10,BC,4040171,53.4,-124.6,8/10/60,0/0/00,LTG,485.60,CAR,INT,14,202,974
1960,8,10,BC,4040194,53.6,-124.5,8/10/60,0/0/00,LTG,1746.20,PrG,INT,14,202,974
1960,7,31,BC,4050169,54.4,-123.4,7/31/60,0/0/00,LTG,493.70,PrG,INT,14,203,982
1960,7,30,BC,4060154,56.1,-122.8,7/30/60,7/31/60,LTG,7452.70,PrG,INT,14,200,968
1960,8,1,BC,4060248,56.8,-124.8,8/1/60,0/0/00,LTG,492.50,PrG,INT,12,180,920
1960,4,29,BC,4070033,55.5,-121.6,4/29/60,4/29/60,MAN,363.00,PrG,INT,14,200,969
1960,4,28,BC,4070053,55.6,-121.3,4/28/60,4/28/60,MAN,621.50,PrG,INT,9,145,618
1960,4,30,BC,4070054,55.6,-121.3,4/30/60,4/30/60,MAN,543.80,PrG,INT,9,145,618
1960,4,17,BC,4070057,55.6,-121.3,4/17/60,4/17/60,MAN,440.20,PrG,INT,9,145,618
1960,4,28,BC,4070058,55.8,-121.7,4/28/60,4/28/60,MAN,284.80,PrG,INT,9,138,591
1960,4,22,BC,4070059,55.8,-122,4/22/60,4/22/60,MAN,258.90,PrG,INT,14,200,969
1960,5,9,BC,4070063,55.9,-121.4,5/9/60,5/9/60,MAN,569.70,PrG,INT,9,138,591
1960,7,30,BC,4070150,55.3,-122.3,7/30/60,0/0/00,LTG,5932.70,PrG,INT,14,200,970
1960,7,30,BC,4070151,55.6,-122.8,7/30/60,7/31/60,LTG,5115.20,PrG,INT,14,200,970
1960,8,8,BC,4070301,54.8,-121.5,8/8/60,8/9/60,MAN,2428.10,PrG,INT,14,200,970
1960,8,10,BC,4070302,54.5,-120.9,8/10/60,8/11/60,LTG,224.60,PrG,INT,14,200,970
1960,6,11,BC,4080078,56.2,-121.6,6/11/60,6/11/60,MAN,728.40,PrG,INT,9,138,591
1960,7,19,BC,4080123,56.4,-120.1,7/19/60,0/0/00,MAN,323.70,PrG,INT,9,137,583
1960,7,13,BC,5010258,52.3,-119.2,7/13/60,0/0/00,LTG,323.70,KAM,INT,14,205,985
1960,7,13,BC,5010263,52.2,-119.3,7/13/60,7/13/60,LTG,420.80,KAM,INT,14,205,985
1960,7,13,BC,5010276,52,-119.4,7/13/60,7/13/60,LTG,574.60,KAM,INT,14,205,988
1960,7,13,BC,5010317,52.2,-119.9,7/13/60,7/13/60,LTG,222.50,KAM,INT,14,205,985
1960,7,13,BC,5010342,51.8,-119.2,7/13/60,7/13/60,LTG,594.80,KAM,INT,14,205,988
1960,7,13,BC,5010351,51.5,-119.6,7/13/60,7/13/60,LTG,352.00,KAM,INT,14,205,988
1960,7,13,BC,5010451,52.1,-119.1,7/13/60,7/15/60,LTG,728.40,KAM,INT,14,205,985
1960,7,13,BC,5010477,51.6,-119.6,7/13/60,7/13/60,LTG,343.90,KAM,INT,14,205,988
1960,7,13,BC,5010533,52.6,-119.3,7/13/60,7/16/60,LTG,4180.40,KAM,INT,14,205,985
1960,7,13,BC,5010535,52.1,-119,7/13/60,7/17/60,LTG,408.70,KAM,INT,14,205,985
1960,7,13,BC,5010547,51.8,-119.1,7/13/60,7/14/60,LTG,226.60,KAM,INT,14,205,988
1960,7,13,BC,5010656,52.4,-119.2,7/13/60,7/15/60,LTG,445.10,KAM,INT,14,205,985
1960,7,13,BC,5010657,52.1,-119.5,7/13/60,7/15/60,LTG,712.20,KAM,INT,14,205,988
1960,7,13,BC,5010704,52.4,-120,7/13/60,7/14/60,LTG,809.30,KAM,INT,14,205,985
1960,7,13,BC,5010710,52.5,-119.8,7/13/60,7/14/60,LTG,2023.40,KAM,INT,14,205,985
1960,7,13,BC,5010711,52.4,-120.4,7/13/60,7/14/60,LTG,809.30,KAM,INT,14,205,987
1960,7,13,BC,5010788,51.9,-119.4,7/13/60,7/15/60,LTG,326.90,KAM,INT,14,205,988
1960,8,4,BC,5011011,51.8,-120.5,8/4/60,8/6/60,LTG,202.30,KAM,INT,14,209,1004
1960,7,22,BC,5020668,50.4,-120.5,7/22/60,7/22/60,MAN,3862.30,KAM,INT,14,209,1006
1960,7,13,BC,5030365,51.1,-119.3,7/13/60,7/14/60,LTG,1230.20,KAM,INT,14,205,988
1960,7,13,BC,5030499,51.3,-118.7,7/13/60,7/14/60,LTG,202.30,KAM,INT,14,205,988
1960,7,13,BC,5030606,51.1,-119.5,7/13/60,7/15/60,LTG,386.40,KAM,INT,14,205,988
1960,7,25,BC,5030683,51,-119.5,7/25/60,7/25/60,MAN,1011.70,KAM,INT,14,205,988
1960,7,7,BC,5040210,50.1,-119.4,7/7/60,7/7/60,MAN,526.00,KAM,INT,14,209,1007
1960,7,13,BC,5040473,50.8,-118.3,7/13/60,0/0/00,LTG,667.70,KAM,INT,14,205,988
1960,7,6,BC,5050211,50.2,-120,7/6/60,7/7/60,MAN,271.10,KAM,INT,14,209,1006
1960,10,1,BC,5051132,49.2,-119.6,10/1/60,10/1/60,MAN,242.80,KAM,INT,14,211,1010
1960,7,12,BC,5060235,49.9,-121.1,7/12/60,7/12/60,MAN,5949.20,KAM,INT,14,208,1003
1960,7,12,BC,5060236,50,-120.6,7/12/60,7/12/60,MAN,1396.10,KAM,INT,14,209,1006
1960,7,14,BC,5060447,50.3,-121.2,7/14/60,7/14/60,MAN,526.00,KAM,INT,14,208,1001
1960,7,14,BC,5060449,50.1,-120.1,7/14/60,7/14/60,MAN,809.30,KAM,INT,14,209,1006
1960,7,19,BC,5060678,49.4,-120.1,7/19/60,0/0/00,MAN,566.50,KAM,INT,14,209,1006
1960,7,27,BC,5060761,50.1,-120.6,7/27/60,7/27/60,LTG,1966.70,KAM,INT,14,209,1006
1960,7,7,BC,5070203,50.9,-122.3,7/7/60,7/7/60,MAN,404.60,KAM,INT,14,208,1002
1960,8,20,BC,5071040,50.3,-121.6,8/20/60,8/20/60,MAN,617.10,KAM,INT,14,208,1001
1960,7,8,BC,6010116,49.6,-115.1,7/8/60,7/8/60,MAN,3014.90,NEL,INT,14,214,1017
1960,7,13,BC,6010158,49.6,-116.1,7/13/60,0/0/00,LTG,4188.50,NEL,INT,14,205,990
1960,7,14,BC,6010159,49.8,-116.6,7/14/60,0/0/00,LTG,206.30,NEL,INT,14,205,990
